Institution,Period,Rechnungssumme,DOI
FZJ-ZB,2015,"1350,00000 €",10.1371/JOURNAL.PONE.0117205
FZJ-ZB,2015,"1348,99000 €",10.3390/molecules20010470
FZJ-ZB,2015,"1554,00000 €",10.1111/1751-7915.12236
FZJ-ZB,2015,"1554,00000 €",10.1111/1751-7915.12237
FZJ-ZB,2015,"798,02000 €",10.1016/j.nme.2014.11.002
FZJ-ZB,2015,"1141,80000 €",10.1371/journal.pone.0112873
FZJ-ZB,2015,"1675,00000 €",10.1186/s12860-015-0065-5
FZJ-ZB,2015,"499,60000 €",10.3390/rs70100725
FZJ-ZB,2015,"1080,00000 €",10.1088/1367-2630/16/11/115005
FZJ-ZB,2015,"960,00000 €",10.3389/fnint.2015.00003
FZJ-ZB,2015,"1744,35000 €",10.1155/2015/569052
FZJ-ZB,2015,"1600,00000 €",10.3389/fncom.2014.00130
FZJ-ZB,2015,"1046,00000 €",10.1038/srep07968
FZJ-ZB,2015,"713,16000 €",10.3390/cancers7010287
FZJ-ZB,2015,"1305,00000 €",10.5194/hess-19-2145-2015
FZJ-ZB,2015,"960,00000 €",10.5194/amt-8-3147-2015
FZJ-ZB,2015,"1056,00000 €",10.5194/amt-8-2473-2015
FZJ-ZB,2015,"1012,00000 €",10.5194/angeo-32-1373-2014
FZJ-ZB,2015,"1368,00000 €",10.5194/amtd-7-10771-2014
FZJ-ZB,2015,"798,02000 €",10.1016/j.nme.2015.01.001
FZJ-ZB,2015,"1314,00000 €",10.1002/2014EF000270
FZJ-ZB,2015,"1007,59000 €",10.3390/rs70302808
FZJ-ZB,2015,"960,00000 €",10.3389/fnsys.2015.00049
FZJ-ZB,2015,"2784,00000 €",10.1111/j.1751-7915.2011.00310.x
FZJ-ZB,2015,"1264,00000 €",10.1186/s12934-015-0274-9
FZJ-ZB,2015,"1304,06000 €",10.3389/fnana.2015.00054
FZJ-ZB,2015,"1260,00000 €",10.1088/1468-6996/16/2/025008
FZJ-ZB,2015,"1600,00000 €",10.3389/fpsyg.2015.00441
FZJ-ZB,2015,"1165,00000 €",10.1038/srep09586
FZJ-ZB,2015,"1440,00000 €",10.1088/1367-2630/17/5/055001
FZJ-ZB,2015,"912,00000 €",10.5194/acpd-15-7895-2015
FZJ-ZB,2015,"1152,00000 €",10.5194/acpd-15-7735-2015
FZJ-ZB,2015,"812,00000 €",10.5194/acpd-15-7239-2015
FZJ-ZB,2015,"1056,00000 €",10.5194/acpd-15-4383-2015
